Any,Precip_Acum_Gener,Precip_Acum_Febrer,Precip_Acum_Marc,Precip_Acum_Abril,Precip_Acum_Maig,Precip_Acum_Juny,Precip_Acum_Juliol,Precip_Acum_Agost,Precip_Acum_Setembre,Precip_Acum_Octubre,Precip_Acum_Novembre,Precip_Acum_Desembre
4,131.3,56.2,29.8,58.8,10.7,47.6,0.0,30.4,41.3,4.6,24.7,12.6
5,67.7,0.0,24.1,30.4,78.6,60.2,10.3,2.3,92.6,65.7,59.8,34.2
6,19.3,92.7,79.3,102.2,26.7,13.6,55.6,7.6,52.1,82.2,15.6,127.2
7,15.8,16.2,0.9,99.0,109.5,53.4,9.4,0.9,167.8,227.2,91.2,27.2
8,45.5,25.6,86.6,117.7,11.2,26.3,45.3,6.8,40.1,53.6,116.0,51.3
9,35.3,29.1,36.4,8.1,97.1,26.2,12.2,71.5,102.3,56.9,58.6,14.2
10,0.9,1.7,87.3,31.7,103.2,7.8,27.1,39.9,179.4,30.7,8.4,34.5
11,59.4,27.9,82.1,88.4,34.1,32.8,0.0,1.5,19.3,128.2,23.9,8.7
12,54.5,20.8,8.9,53.1,31.7,34.5,55.6,54.5,68.6,22.9,18.1,24.1
13,48.4,102.0,39.0,77.0,47.9,18.4,7.5,50.4,157.8,30.9,0.0,31.0
14,18.8,18.2,33.1,30.1,171.2,27.6,82.2,30.9,27.3,236.3,39.3,25.0
15,13.8,12.2,28.8,115.4,102.2,66.1,29.1,39.0,71.0,35.1,78.1,50.1
16,0.0,132.7,35.2,79.0,24.0,4.8,1.0,7.5,73.1,93.6,40.2,58.3
17,46.4,121.2,39.2,44.6,78.4,26.3,11.6,40.3,30.8,6.3,36.6,166.1
18,12.4,6.9,114.1,89.4,53.1,30.1,25.0,10.2,15.6,5.7,147.3,5.0
19,42.7,22.8,46.8,19.7,45.3,69.4,1.5,21.4,61.9,96.0,58.6,3.2
20,32.6,25.5,44.5,10.9,9.7,61.8,67.1,44.0,99.5,178.6,60.0,46.0
21,0.7,124.8,102.1,40.4,159.0,9.6,9.7,100.5,16.2,9.4,289.2,24.7
22,35.1,20.9,79.6,31.9,27.6,92.3,73.8,5.4,77.8,81.5,7.3,17.5
23,20.9,5.5,103.3,101.1,80.3,20.8,1.5,39.2,93.1,36.1,89.5,21.9
24,20.6,72.3,24.0,13.5,15.2,25.5,15.9,48.7,46.0,57.0,75.7,29.4
25,9.7,29.8,122.7,23.4,72.8,5.4,25.1,32.5,28.4,177.0,87.8,22.7
26,31.9,16.4,8.1,36.2,101.1,7.6,57.0,164.1,8.5,97.9,121.0,13.1
27,2.3,38.1,39.8,9.9,44.6,24.7,10.5,5.7,92.7,108.2,50.8,128.4
28,23.2,95.1,112.9,45.8,49.7,0.7,3.0,1.0,27.2,258.5,69.4,62.2
29,24.7,17.6,32.2,35.6,26.2,51.8,0.0,86.3,34.8,69.5,43.7,23.7
30,123.0,49.8,78.0,38.5,46.1,24.9,13.6,46.5,46.0,33.9,15.1,26.0
31,1.4,32.1,151.8,25.4,66.8,6.9,2.8,60.9,102.7,99.4,64.1,22.6
32,25.0,42.7,63.3,46.6,48.9,57.2,163.2,50.2,66.6,20.2,72.0,146.0
33,27.3,26.6,53.8,56.1,39.5,100.8,3.6,8.6,140.1,15.1,132.8,107.2
34,3.3,24.0,15.9,68.4,6.0,20.6,0.2,62.7,97.2,29.7,172.3,16.7
35,16.5,19.7,122.4,18.7,100.9,0.2,22.3,34.8,37.3,85.8,33.2,26.4
36,4.9,14.5,98.8,40.9,165.5,46.5,24.0,5.3,32.6,38.8,3.1,35.2
37,13.4,12.6,57.0,21.8,26.9,83.2,12.8,7.8,18.8,141.3,6.6,1.0
38,0.0,15.5,24.5,54.2,61.3,23.1,6.9,111.1,170.9,12.4,5.9,44.0
39,48.9,18.5,47.1,44.4,65.2,69.2,7.7,85.5,128.4,47.4,32.0,80.1
40,23.6,27.3,33.7,11.8,48.4,35.6,72.4,27.5,113.0,53.9,1.6,35.0
41,140.6,9.7,4.1,49.1,38.1,35.2,70.7,50.8,52.2,41.0,91.2,2.4
42,24.4,68.3,15.9,5.7,7.1,45.5,22.7,93.7,52.0,35.4,27.6,43.2
43,3.6,24.3,83.9,17.6,53.0,9.3,83.7,21.1,112.9,104.1,131.8,222.5
44,0.0,275.1,26.2,75.4,29.5,44.1,2.3,78.9,87.0,55.1,24.0,48.3
45,124.6,11.7,13.8,32.8,32.9,13.9,10.2,95.9,1.4,34.6,37.8,36.3
46,83.2,3.8,51.4,106.9,91.7,43.5,0.0,55.7,38.4,101.6,14.1,28.4
47,14.5,79.3,19.4,6.1,30.9,2.9,41.5,28.0,60.1,57.3,59.4,44.2
48,32.8,88.2,78.4,42.6,62.6,71.0,5.3,11.5,78.5,74.0,0.0,84.3
49,3.5,32.3,41.7,53.8,122.6,15.7,4.4,24.8,26.1,51.1,34.1,39.2
50,7.3,4.8,91.5,66.8,47.1,31.8,0.0,110.8,28.5,20.1,6.4,64.6
51,56.8,30.4,74.2,66.3,87.8,41.3,36.7,124.3,56.0,281.1,88.5,21.3
52,25.8,26.3,36.5,31.9,21.4,37.6,50.7,2.4,77.1,48.8,49.0,14.3
53,0.2,14.3,30.7,24.5,34.4,123.6,52.6,13.3,135.3,151.2,0.7,12.3
54,37.6,46.7,80.2,82.9,122.0,55.4,48.3,7.6,57.0,4.1,8.4,29.7
55,94.9,47.0,45.0,9.0,3.3,72.2,32.4,54.2,60.2,87.4,10.1,31.2
